title,release_date,popularity,vote_average,runtime,genres,on_netflix
Toy Story,1995-10-30,21.946943,7.7,81.0,"Animation, Comedy, Family",False
Jumanji,1995-12-15,17.015539,6.9,104.0,"Adventure, Fantasy, Family",False
Grumpier Old Men,1995-12-22,11.7129,6.5,101.0,"Romance, Comedy",False
Waiting to Exhale,1995-12-22,3.859495,6.1,127.0,"Comedy, Drama, Romance",False
Father of the Bride Part II,1995-02-10,8.387519,5.7,106.0,Comedy,False
Heat,1995-12-15,17.924927,7.7,170.0,"Action, Crime, Drama, Thriller",False
Sabrina,1995-12-15,6.677277,6.2,127.0,"Comedy, Romance",True
Tom and Huck,1995-12-22,2.561161,5.4,97.0,"Action, Adventure, Drama, Family",False
Sudden Death,1995-12-22,5.23158,5.5,106.0,"Action, Adventure, Thriller",False
GoldenEye,1995-11-16,14.686036,6.6,130.0,"Adventure, Action, Thriller",True
The American President,1995-11-17,6.318445,6.5,106.0,"Comedy, Drama, Romance",True
Dracula: Dead and Loving It,1995-12-22,5.430331,5.7,88.0,"Comedy, Horror",False
Balto,1995-12-22,12.140733,7.1,78.0,"Family, Animation, Adventure",True
Nixon,1995-12-22,5.092,7.1,192.0,"History, Drama",False
Cutthroat Island,1995-12-22,7.284477,5.7,119.0,"Action, Adventure",False
Casino,1995-11-22,10.137389,7.8,178.0,"Drama, Crime",False
Sense and Sensibility,1995-12-13,10.673167,7.2,136.0,"Drama, Romance",False
Four Rooms,1995-12-09,9.026586,6.5,98.0,"Crime, Comedy",False
Ace Ventura: When Nature Calls,1995-11-10,8.205448,6.1,90.0,"Crime, Comedy, Adventure",False
Money Train,1995-11-21,7.337906,5.4,103.0,"Action, Comedy, Crime",False
Get Shorty,1995-10-20,12.669608,6.4,105.0,"Comedy, Thriller, Crime",False
Copycat,1995-10-27,10.701801,6.5,124.0,"Drama, Thriller",False
Assassins,1995-10-06,11.065939,6.0,132.0,"Action, Adventure, Crime, Thriller",False
Powder,1995-10-27,12.133094,6.3,111.0,"Drama, Fantasy, Science Fiction, Thriller",False
Leaving Las Vegas,1995-10-27,10.332025,7.1,112.0,"Drama, Romance",False
Othello,1995-12-15,1.845899,7.0,123.0,Drama,False
Now and Then,1995-10-20,8.681325,6.6,100.0,"Comedy, Drama, Family",True
Persuasion,1995-09-27,2.228434,7.4,104.0,"Drama, Romance",False
The City of Lost Children,1995-05-16,9.822423,7.6,108.0,"Fantasy, Science Fiction, Adventure",False
Shanghai Triad,1995-04-30,1.100915,6.5,108.0,"Drama, Crime",False
Dangerous Minds,1995-08-11,9.481338,6.4,99.0,"Drama, Crime",False
Twelve Monkeys,1995-12-29,12.297305,7.4,129.0,"Science Fiction, Thriller, Mystery",False
Wings of Courage,1996-09-18,0.745542,6.8,50.0,"Romance, Adventure",False
Babe,1995-07-18,14.404764,6.0,89.0,"Fantasy, Drama, Comedy, Family",False
Carrington,1995-11-08,1.493361,6.4,121.0,"History, Drama, Romance",False
Dead Man Walking,1995-12-29,6.891317,7.3,122.0,Drama,False
Across the Sea of Time,1995-10-20,0.114469,3.5,51.0,"Adventure, History, Drama, Family",False
It Takes Two,1995-11-17,7.777735,6.1,101.0,"Comedy, Family, Romance",True
Clueless,1995-07-19,9.882383,6.9,97.0,"Comedy, Drama, Romance",False
"Cry, the Beloved Country",1995-12-15,0.894647,6.7,106.0,Drama,False
Richard III,1995-12-29,4.561387,6.9,104.0,"Drama, War",False
Dead Presidents,1995-10-06,9.87957,6.6,119.0,"Action, Crime, Drama, History",False
Restoration,1995-12-29,10.979269,6.3,117.0,"Drama, Romance",False
Mortal Kombat,1995-08-18,10.870138,5.4,101.0,"Action, Fantasy",True
To Die For,1995-05-20,10.448481,6.7,106.0,"Fantasy, Drama, Comedy, Thriller",False
How To Make An American Quilt,1995-10-06,4.485958,6.5,116.0,"Drama, Romance",False
Se7en,1995-09-22,18.45743,8.1,127.0,"Crime, Mystery, Thriller",False
Pocahontas,1995-06-14,13.280069,6.7,81.0,"Adventure, Animation, Drama, Family",False
When Night Is Falling,1995-05-05,3.302524,5.9,96.0,"Drama, Romance",False
The Usual Suspects,1995-07-19,16.302466,8.1,106.0,"Drama, Crime, Thriller",False
Guardian Angel,1994-11-22,0.595949,6.3,93.0,"Action, Thriller, Drama",False
Mighty Aphrodite,1995-09-13,15.899134,6.7,95.0,"Comedy, Romance",False
Lamerica,1994-01-01,1.361286,7.7,116.0,"Drama, Foreign",False
The Big Green,1995-09-29,5.982764,5.2,100.0,"Action, Adventure, Comedy, Family",False
Georgia,1995-05-19,4.093443,6.1,115.0,Drama,False
Kids of the Round Table,1997-07-08,0.307075,3.0,89.0,,False
Home for the Holidays,1995-11-02,8.416802,6.3,103.0,"Comedy, Drama, Romance",False
The Postman,1994-09-22,10.168437,7.6,108.0,"Comedy, Drama, Romance",False
The Confessional,1995-09-29,0.120789,6.5,100.0,"Thriller, Drama, Mystery",False
The Indian in the Cupboard,1995-07-14,10.673296,5.9,96.0,"Adventure, Family, Fantasy",True
Eye for an Eye,1996-01-12,4.733526,5.8,101.0,"Drama, Thriller",False
Mr. Holland's Opus,1995-12-29,7.137117,6.9,137.0,"Music, Drama, Family",False
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,11.700115,6.2,89.0,Comedy,False
Two If by Sea,1996-01-12,2.174487,4.5,96.0,"Comedy, Romance",False
Bio-Dome,1996-01-12,6.387469,4.4,88.0,Comedy,False
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,2.49535,2.8,92.0,"Action, Science Fiction",False
Two Bits,1995-10-22,4.046208,5.4,85.0,"Drama, Family",False
French Twist,1995-02-08,2.518051,6.0,95.0,"Comedy, Romance",False
Friday,1995-04-26,14.56965,7.0,91.0,Comedy,False
From Dusk Till Dawn,1996-01-19,15.339153,6.9,108.0,"Horror, Action, Thriller, Crime",False
Fair Game,1995-11-03,5.912223,4.1,91.0,"Action, Thriller, Romance",False
Kicking and Screaming,1995-10-06,3.367276,7.0,96.0,"Comedy, Drama, Romance",True
Les Miserables,1995-03-22,1.479446,6.6,175.0,"Drama, History",False
Bed of Roses,1996-01-26,10.412194,5.1,87.0,"Drama, Romance",False
Big Bully,1996-01-26,2.936443,3.9,90.0,"Comedy, Family",False
Screamers,1995-09-08,12.758848,6.1,108.0,"Horror, Science Fiction",False
Nico Icon,1995-02-18,0.133893,7.3,70.0,Documentary,False
The Crossing Guard,1995-11-15,5.756462,6.1,111.0,"Drama, Thriller",False
The Juror,1996-02-02,6.010579,5.5,118.0,"Drama, Thriller",False
The White Balloon,1995-01-01,1.196256,7.5,85.0,"Family, Drama",False
Things to Do in Denver When You're Dead,1995-12-01,4.486179,6.7,116.0,"Drama, Crime",False
Antonia's Line,1995-09-12,2.030174,7.2,102.0,"Drama, Comedy",False
Once Upon a Time... When We Were Colored,1996-01-26,0.252287,4.5,115.0,"Romance, Drama",False
Last Summer in the Hamptons,1995-11-22,0.531159,0.0,108.0,,False
Angels and Insects,1995-09-10,2.15166,6.3,118.0,"Drama, Romance",False
White Squall,1996-02-02,9.568604,6.3,129.0,"Action, Drama",False
Dunston Checks In,1996-01-12,4.814825,5.1,88.0,"Adventure, Comedy, Family",False
Black Sheep,1996-02-01,8.963037,6.0,87.0,Comedy,False
Nick of Time,1995-11-22,6.848591,6.1,90.0,"Crime, Drama, Thriller",False
The Journey of August King,1995-09-14,0.411424,6.7,91.0,Drama,False
Mary Reilly,1996-02-23,12.866139,5.7,104.0,"Drama, Horror, Thriller, Romance",False
Vampire in Brooklyn,1995-10-26,9.071127,4.5,100.0,"Comedy, Horror, Romance",False
Beautiful Girls,1996-02-09,4.670562,6.6,112.0,"Comedy, Drama, Romance",False
Broken Arrow,1996-02-09,14.957626,5.7,108.0,"Action, Adventure, Drama, Thriller",False
A Midwinter's Tale,1995-12-01,0.513391,7.5,99.0,Comedy,False
La Haine,1995-05-31,12.108196,7.9,98.0,Drama,False
Shopping,1994-12-06,2.657647,5.6,105.0,"Action, Adventure, Drama, Science Fiction, Thriller",False
Heidi Fleiss: Hollywood Madam,1995-12-27,0.638211,6.8,106.0,Documentary,False
City Hall,1996-02-16,4.807223,6.0,111.0,"Drama, Thriller",False
Bottle Rocket,1996-02-21,6.904831,6.8,91.0,"Comedy, Crime, Drama",False
Mr. Wrong,1996-02-16,3.329264,3.3,96.0,"Comedy, Romance",False
Unforgettable,1996-02-23,2.464425,5.3,106.0,"Drama, Mystery, Science Fiction, Thriller",False
Happy Gilmore,1996-02-16,9.592265,6.5,92.0,Comedy,False
The Bridges of Madison County,1995-05-28,5.951077,7.3,135.0,"Drama, Romance",False
Nobody Loves Me,1994-11-07,1.015068,5.1,104.0,"Drama, Comedy, Family",False
Muppet Treasure Island,1996-02-16,6.902423,6.5,100.0,"Action, Comedy, Music, Family, Adventure",False
Catwalk,1995-12-08,0.976707,7.0,95.0,Documentary,False
Headless Body in Topless Bar,1995-05-20,0.001346,0.0,110.0,Crime,False
Braveheart,1995-05-24,20.755149,7.7,177.0,"Action, Drama, History, War",False
Taxi Driver,1976-02-07,14.092713,8.1,114.0,"Crime, Drama",True
Rumble in the Bronx,1995-01-30,12.314278,6.5,91.0,"Crime, Action, Comedy, Thriller",True
Before and After,1996-02-23,2.938293,5.8,108.0,"Drama, Thriller",False
Margaret's Museum,1995-09-13,0.372697,7.5,114.0,Drama,False
Happiness Is in the Field,1995-01-31,1.254885,7.0,106.0,Comedy,False
Anne Frank Remembered,1995-06-08,0.243986,7.3,117.0,"Documentary, Drama, Foreign",False
The Young Poisoner's Handbook,1995-01-20,6.178497,6.9,99.0,"Comedy, Crime, Drama",False
If Lucy Fell,1996-03-08,2.891918,5.4,92.0,"Comedy, Romance",False
Steal Big Steal Little,1995-09-29,1.522412,5.1,113.0,"Comedy, Drama",False
Race the Sun,1996-03-22,1.317878,5.2,100.0,"Action, Adventure, Comedy, Drama, Family",False
The Boys of St. Vincent,1992-12-06,0.86539,7.0,90.0,Drama,False
Boomerang,1992-06-30,6.506983,5.4,117.0,"Comedy, Romance",False
Chungking Express,1994-07-14,6.778979,7.9,102.0,"Drama, Comedy, Romance",False
The Star Maker,1995-09-21,1.702639,6.8,113.0,"Drama, Romance",False
Flirting with Disaster,1996-03-22,5.579088,6.3,92.0,"Comedy, Romance",False
The Neverending Story III: Escape from Fantasia,1994-10-26,6.252377,4.4,95.0,Fantasy,False
The Silences of the Palace,1994-09-30,0.406754,4.3,116.0,Drama,False
Jupiter's Wife,1995-01-01,0.001178,0.0,87.0,,False
Pie in the Sky,1996-02-09,0.699066,7.0,95.0,"Comedy, Romance",False
Angela,1995-01-01,2.197439,5.6,99.0,"Comedy, Drama",False
Frankie Starlight,1995-11-22,0.637554,5.4,101.0,"Drama, Romance, War",False
Jade,1995-10-13,11.418917,5.1,95.0,"Action, Thriller, Mystery, Romance",False
Nueba Yol,1995-08-16,0.291021,5.5,102.0,"Comedy, Drama, Romance",False
Sonic Outlaws,1995-08-01,0.001838,0.0,87.0,"Music, Documentary",False
Down Periscope,1996-03-01,5.184977,5.6,92.0,Comedy,False
From the Journals of Jean Seberg,1995-09-08,0.276401,6.5,97.0,Documentary,False
Man of the Year,1995-09-15,0.540436,3.8,86.0,Comedy,False
The Neon Bible,1995-08-23,0.370342,7.2,91.0,Drama,False
Target,1995-08-01,0.001205,0.0,122.0,,True
Up Close & Personal,1996-03-01,3.402749,5.9,119.0,"Drama, Romance",False
The Birdcage,1996-03-08,6.49968,6.7,117.0,Comedy,False
Virgin Mary,1995-10-12,0.918504,7.0,125.0,Drama,False
The Brothers McMullen,1995-08-09,2.039196,6.3,98.0,"Comedy, Drama, Romance",False
Bad Boys,1995-04-07,9.262184,6.5,118.0,"Action, Comedy, Crime, Thriller",True
The Amazing Panda Adventure,1995-08-25,2.375865,5.0,81.0,"Action, Adventure, Drama, Family",False
The Basketball Diaries,1995-04-21,7.415144,7.2,102.0,"Drama, Crime",False
An Awfully Big Adventure,1995-07-21,0.922958,6.0,113.0,"Romance, Drama, Comedy",False
Amateur,1994-08-05,1.759012,6.5,105.0,"Crime, Comedy, Drama, Thriller",True
Apollo 13,1995-06-30,18.761467,7.3,140.0,Drama,False
Rob Roy,1995-04-13,10.193549,6.5,139.0,Adventure,False
The Addiction,1995-01-10,3.137285,6.4,82.0,"Drama, Horror",False
Batman Forever,1995-06-16,13.321354,5.2,121.0,"Action, Crime, Fantasy",False
Belle de Jour,1967-05-24,10.142662,7.3,101.0,"Drama, Romance",False
Beyond Rangoon,1995-05-24,2.04189,6.4,100.0,"Drama, Thriller",False
Blue in the Face,1995-09-15,11.528147,6.8,83.0,Comedy,False
